lat,long
40.8093,-77.8634
,
,
42.4751,-122.6289
42.3597,-74.1634
,
39.3292,-87.8619
,
,
33.5911,-96.5445
47.0265,-122.7969
40.9556,-73.8082
40.9556,-73.8082
,
34.1031,-117.3874
39.4983,-76.1989
,
,
32.9030,-116.8655
40.7922,-74.1115
32.2179,-110.9686
36.3504,-78.6484
31.9920,-102.0768
32.9080,-97.5806
38.2812,-85.8410
41.9927,-88.3139
35.7091,-105.8594
30.3383,-81.7706
,
38.5819,-76.7118
30.5006,-97.6302
45.9874,-112.5052
,
,
38.6387,-88.9198
,
38.8478,-105.3069
46.2313,-117.2574
44.4706,-105.6113
,
,
33.5382,-112.1859
41.0761,-111.8922
,
21.3069,-157.8584
40.2263,-75.2933
39.6004,-119.7757
,
33.8269,-116.3821
,
,
,
40.5895,-98.3876
32.9030,-116.8655
,
,
27.9163,-82.8029
,
42.0470,-88.1199
,
27.9475,-82.4588
,
,
38.1484,-81.1040
,
36.3772,-91.8601
,
,
42.3462,-83.0606
37.8445,-82.0345
46.9780,-122.8735
37.5307,-110.3937
29.8826,-97.5511
40.1734,-84.2178
,
42.8863,-87.8886
40.3189,-86.4688
36.9651,-76.5180
39.9525,-75.1644
36.1537,-95.9926
31.9920,-102.0768
,
43.8446,-123.2926
39.3501,-97.1659
46.1726,-91.7983
38.3872,-75.1024
35.3879,-119.0236
,
,
35.2842,-106.7461
,
27.4067,-82.4660
41.0816,-81.5192
38.6137,-76.8705
28.4773,-82.6010
,
42.4592,-83.9447
,
41.4471,-73.9092
,
35.7566,-77.3859
42.6643,-84.0605
,
46.6054,-120.1773
33.8348,-78.6621
45.5074,-122.6898
39.7757,-86.1096
42.8808,-112.3645
32.2179,-110.9686
44.6420,-123.2759
42.0627,-87.9255
38.0084,-122.2594
26.0194,-80.3446
41.5584,-73.0516
45.0984,-100.7680
44.0873,-95.6333
39.0486,-95.6778
37.0468,-76.4853
42.6566,-78.3411
39.4075,-74.3765
33.4217,-93.0337
,
34.2547,-84.5092
42.3140,-114.6595
44.9199,-67.0154
39.8376,-85.1782
,
,
38.3872,-75.1024
44.2888,-70.1365
,
37.9536,-122.0219
32.7199,-117.1805
42.7319,-71.1858
42.9634,-85.6681
41.0192,-81.6203
38.1413,-79.0647
,
34.0033,-118.0261
,
34.2322,-119.0764
32.7877,-96.7999
,
,
41.7454,-87.7704
,
47.9427,-122.0138
,
41.7454,-87.7704
36.6199,-107.7584
41.7454,-87.7704
41.7176,-93.7117
42.9044,-71.7774
41.3745,-73.7521
34.0229,-78.9132
43.7070,-87.7431
29.7634,-95.3634
47.6648,-117.4375
,
42.4044,-88.0631
32.6053,-110.8038
39.4453,-77.8125
27.8568,-98.3636
,
41.4968,-82.0176
,
34.1046,-84.0037
30.2822,-87.5650
,
34.1995,-118.3044
38.7657,-77.4852
66.7378,-161.7791
33.7933,-83.6994
,
38.9511,-86.3913
33.5788,-95.5262
,
31.7311,-91.0465
,
